user_id,item_ids,timestamp
6807,"[459, 1289, 4245, 1903, 491]",1140220800
8685,"[628, 823, 1073, 1077, 1621]",1168300800
6782,"[4246, 1289, 491, 946, 5174, 2090, 456]",1176768000
4530,"[263, 1559, 1536, 5174, 2643]",1182556800
7696,"[530, 1552, 1348, 2760, 1669]",1185753600
5181,"[372, 378, 385, 2752, 1173, 2348, 1722, 2578, 1191, 760, 813]",1192752000
6780,"[456, 461, 881, 947, 1903]",1193702400
5181,"[378, 385, 2752, 1173, 2348, 1722, 2578, 1191, 760, 813, 2847]",1195171200
5181,"[385, 2752, 1173, 2348, 1722, 2578, 1191, 760, 813, 2847, 2916]",1195171200
5181,"[2752, 1173, 2348, 1722, 2578, 1191, 760, 813, 2847, 2916, 2577]",1196812800
5181,"[1173, 2348, 1722, 2578, 1191, 760, 813, 2847, 2916, 2577, 1763]",1200009600
5181,"[2348, 1722, 2578, 1191, 760, 813, 2847, 2916, 2577, 1763, 592]",1203206400
5181,"[1722, 2578, 1191, 760, 813, 2847, 2916, 2577, 1763, 592, 2034]",1203552000
5181,"[2578, 1191, 760, 813, 2847, 2916, 2577, 1763, 592, 2034, 3537]",1203724800
5181,"[1191, 760, 813, 2847, 2916, 2577, 1763, 592, 2034, 3537, 1113]",1203811200
1853,"[2345, 459, 3122, 101, 115]",1203897600
5181,"[760, 813, 2847, 2916, 2577, 1763, 592, 2034, 3537, 1113, 2590]",1204416000
5181,"[813, 2847, 2916, 2577, 1763, 592, 2034, 3537, 1113, 2590, 3251]",1205366400
5181,"[2847, 2916, 2577, 1763, 592, 2034, 3537, 1113, 2590, 3251, 1941]",1205712000
5181,"[2916, 2577, 1763, 592, 2034, 3537, 1113, 2590, 3251, 1941, 374]",1207094400
5181,"[2577, 1763, 592, 2034, 3537, 1113, 2590, 3251, 1941, 374, 1769]",1210723200
17250,"[2194, 1621, 2266, 3051, 2609]",1212105600
5181,"[1763, 592, 2034, 3537, 1113, 2590, 3251, 1941, 374, 1769, 971]",1212364800
5181,"[592, 2034, 3537, 1113, 2590, 3251, 1941, 374, 1769, 971, 2950]",1212624000
5181,"[2034, 3537, 1113, 2590, 3251, 1941, 374, 1769, 971, 2950, 2866]",1213315200
5181,"[3537, 1113, 2590, 3251, 1941, 374, 1769, 971, 2950, 2866, 2015]",1213574400
7048,"[3401, 480, 1194, 3880, 483]",1218153600
1827,"[99, 1408, 2710, 1136, 2418, 3714, 113]",1224028800
5181,"[1113, 2590, 3251, 1941, 374, 1769, 971, 2950, 2866, 2015, 2867]",1224806400
3014,"[176, 479, 1191, 1856, 4051, 4057]",1228694400
5181,"[2590, 3251, 1941, 374, 1769, 971, 2950, 2866, 2015, 2867, 3792]",1230508800
5181,"[3251, 1941, 374, 1769, 971, 2950, 2866, 2015, 2867, 3792, 2249]",1231459200
5181,"[1941, 374, 1769, 971, 2950, 2866, 2015, 2867, 3792, 2249, 2574]",1231632000
5181,"[374, 1769, 971, 2950, 2866, 2015, 2867, 3792, 2249, 2574, 2951]",1231718400
5181,"[1769, 971, 2950, 2866, 2015, 2867, 3792, 2249, 2574, 2951, 2936]",1233532800
5181,"[971, 2950, 2866, 2015, 2867, 3792, 2249, 2574, 2951, 2936, 2843]",1235433600
7013,"[654, 3127, 478, 1812, 1152]",1237248000
2790,"[164, 1604, 823, 206, 1989, 603, 2062, 3272, 207, 3479, 3111]",1240272000
5181,"[2950, 2866, 2015, 2867, 3792, 2249, 2574, 2951, 2936, 2843, 328]",1240617600
5181,"[2866, 2015, 2867, 3792, 2249, 2574, 2951, 2936, 2843, 328, 2246]",1240617600
5181,"[2015, 2867, 3792, 2249, 2574, 2951, 2936, 2843, 328, 2246, 1148]",1240704000
5181,"[2867, 3792, 2249, 2574, 2951, 2936, 2843, 328, 2246, 1148, 2972]",1244851200
11529,"[857, 2015, 2583, 2066, 2358]",1245283200
6801,"[459, 549, 552, 1904, 2665, 1304]",1252281600
18530,"[2816, 2859, 1843, 3056, 3349]",1252972800
5181,"[3792, 2249, 2574, 2951, 2936, 2843, 328, 2246, 1148, 2972, 3796]",1253836800
5181,"[2249, 2574, 2951, 2936, 2843, 328, 2246, 1148, 2972, 3796, 3872]",1255910400
5181,"[2574, 2951, 2936, 2843, 328, 2246, 1148, 2972, 3796, 3872, 1059]",1256256000
5181,"[2951, 2936, 2843, 328, 2246, 1148, 2972, 3796, 3872, 1059, 382]",1259798400
10247,"[1716, 1624, 738, 3024, 1367, 2279]",1260057600
8101,"[2087, 640, 2176, 3610, 572, 2081, 3602, 1877, 4012, 5002, 5208]",1261008000
1824,"[3122, 3958, 100, 2396, 3624, 99, 1117, 1119, 2827, 2984, 2985]",1261353600
5181,"[2936, 2843, 328, 2246, 1148, 2972, 3796, 3872, 1059, 382, 403]",1263600000
582,"[164, 1604, 182, 207, 2664, 3174, 33, 3880, 3401, 2901, 5322]",1264032000
12953,"[1020, 1709, 1903, 3952, 4261, 5122]",1264032000
